Depart,Return,Year,Length_days,VID,Passengers
06/07/2009 5:00 AM,06/07/2009 10:00 PM,2009,0.71,071,5
06/12/2009 5:00 AM,06/12/2009 11:00 PM,2009,0.75,092,5
07/27/2009 10:00 AM,07/27/2009 9:00 PM,2009,0.46,073,12
07/27/2009 5:00 PM,07/27/2009 9:00 PM,2009,0.17,046,12
06/10/2009 8:00 AM,06/12/2009 8:00 PM,2009,2.5,065,5
06/08/2009 6:30 AM,06/09/2009 6:00 PM,2009,1.48,071,5
06/12/2009 5:00 PM,06/14/2009 5:00 PM,2009,2,063,5
06/09/2009 12:00 PM,06/09/2009 4:00 PM,2009,0.17,092,5
06/10/2009 9:00 AM,06/10/2009 1:00 PM,2009,0.17,052,5
06/10/2009 8:45 AM,06/10/2009 4:00 PM,2009,0.3,071,5
06/10/2009 4:30 PM,06/11/2009 2:45 PM,2009,0.93,071,5
06/19/2009 8:00 AM,06/21/2009 11:00 PM,2009,2.63,082,7
07/07/2009 7:00 AM,07/08/2009 5:00 PM,2009,1.42,055,7
06/19/2009 7:00 AM,06/19/2009 11:00 PM,2009,0.67,063,5
06/17/2009 10:00 AM,06/17/2009 12:30 PM,2009,0.1,046,12
07/09/2009 6:30 AM,07/17/2009 5:00 PM,2009,8.44,063,5
07/20/2009 6:30 AM,07/30/2009 5:00 PM,2009,10.44,063,5
06/23/2009 7:00 AM,06/24/2009 1:00 PM,2009,1.25,092,5
06/23/2009 1:00 PM,06/23/2009 8:00 PM,2009,0.29,071,5
06/30/2009 11:00 AM,06/30/2009 4:00 PM,2009,0.21,092,5
06/23/2009 10:00 AM,06/23/2009 5:00 PM,2009,0.29,073,12
06/23/2009 9:30 AM,06/23/2009 4:30 PM,2009,0.29,034,12
06/24/2009 8:00 AM,06/26/2009 9:00 PM,2009,2.54,071,5
06/25/2009 3:00 PM,06/25/2009 9:30 PM,2009,0.27,052,5
06/25/2009 7:00 AM,06/25/2009 5:00 PM,2009,0.42,064,5
06/29/2009 6:00 AM,06/29/2009 9:00 PM,2009,0.63,065,5
11/04/2009 12:00 PM,11/04/2009 10:00 PM,2009,0.42,093,5
06/27/2009 1:00 AM,07/09/2009 11:00 PM,2009,12.92,034,12
08/21/2009 11:45 PM,01/30/2010 11:00 PM,2010,161.97,034,12
07/07/2009 12:00 PM,07/07/2009 11:00 PM,2009,0.46,082,7
11/12/2009 6:00 AM,11/13/2009 6:00 PM,2009,1.5,092,5
07/04/2009 10:00 AM,07/04/2009 5:00 PM,2009,0.29,071,5
06/30/2009 8:00 AM,06/30/2009 4:00 PM,2009,0.33,082,7
06/30/2009 10:00 AM,06/30/2009 4:30 PM,2009,0.27,073,12
07/17/2009 8:00 AM,07/18/2009 12:00 PM,2009,1.17,055,7
07/10/2009 7:00 AM,07/10/2009 6:00 PM,2009,0.46,053,5
07/08/2009 7:00 AM,07/08/2009 5:00 PM,2009,0.42,062,5
07/02/2009 7:00 AM,07/02/2009 5:00 PM,2009,0.42,063,5
07/14/2009 7:00 AM,07/14/2009 7:00 PM,2009,0.5,092,5
07/07/2009 8:00 AM,07/07/2009 6:00 PM,2009,0.42,092,5
07/23/2009 8:00 AM,07/24/2009 8:00 AM,2009,1,073,12
07/06/2009 7:00 AM,07/07/2009 10:00 PM,2009,1.63,063,5
07/19/2009 7:00 AM,07/24/2009 5:00 PM,2009,5.42,071,5
07/06/2009 5:00 PM,07/08/2009 9:00 PM,2009,2.17,052,5
07/07/2009 9:00 AM,07/07/2009 5:00 PM,2009,0.33,073,12
07/15/2009 6:45 AM,07/15/2009 12:00 PM,2009,0.22,052,5
08/06/2009 7:30 AM,08/06/2009 7:00 PM,2009,0.48,053,5
07/14/2009 6:00 AM,07/14/2009 8:00 PM,2009,0.58,071,5
07/11/2009 8:00 AM,07/11/2009 10:00 PM,2009,0.58,073,12
09/25/2009 2:30 PM,09/27/2009 3:00 PM,2009,2.02,051,7
07/13/2009 1:00 PM,07/15/2009 9:00 PM,2009,2.33,065,5
04/15/2010 9:00 AM,04/20/2010 4:00 PM,2010,5.29,073,12
07/17/2009 9:00 AM,07/17/2009 6:00 PM,2009,0.38,092,5
08/06/2009 1:00 PM,08/07/2009 11:00 PM,2009,1.42,092,5
07/16/2009 7:00 AM,07/16/2009 5:00 PM,2009,0.42,062,5
07/14/2009 6:00 AM,07/14/2009 5:00 PM,2009,0.46,066,5
07/14/2009 8:00 AM,07/14/2009 1:00 PM,2009,0.21,062,5
09/08/2009 6:00 AM,09/11/2009 11:45 PM,2009,3.74,065,5
07/18/2009 8:00 AM,07/18/2009 10:00 PM,2009,0.58,073,12
08/22/2009 7:00 AM,08/23/2009 9:00 PM,2009,1.58,053,5
07/14/2009 9:00 AM,07/14/2009 8:00 PM,2009,0.46,072,7
08/06/2009 5:00 PM,08/06/2009 11:00 PM,2009,0.25,093,5
08/14/2009 3:00 PM,08/14/2009 9:00 PM,2009,0.25,082,7
07/18/2009 6:30 AM,07/18/2009 9:30 PM,2009,0.63,034,12
07/14/2009 4:00 PM,07/14/2009 10:00 PM,2009,0.25,034,12
07/24/2009 12:00 PM,07/24/2009 4:00 PM,2009,0.17,046,12
07/27/2009 8:30 AM,07/27/2009 12:00 PM,2009,0.15,046,12
07/31/2009 6:00 AM,08/01/2009 8:00 PM,2009,1.58,062,5
07/24/2009 7:30 AM,07/24/2009 4:00 PM,2009,0.35,051,7
07/17/2009 12:00 PM,07/22/2009 11:00 PM,2009,5.46,093,5
07/16/2009 10:30 AM,07/16/2009 4:30 PM,2009,0.25,082,7
07/18/2009 7:00 AM,07/22/2009 10:00 PM,2009,4.63,082,7
07/21/2009 8:00 AM,07/21/2009 12:00 PM,2009,0.17,066,5
07/23/2009 7:00 AM,07/23/2009 5:00 PM,2009,0.42,062,5
07/22/2009 10:00 AM,07/22/2009 5:00 PM,2009,0.29,055,7
07/21/2009 9:45 AM,07/21/2009 5:00 PM,2009,0.3,072,7
07/23/2009 8:00 AM,07/23/2009 2:00 PM,2009,0.25,092,5
07/22/2009 2:15 PM,07/22/2009 5:00 PM,2009,0.11,072,7
08/04/2009 7:00 AM,08/05/2009 5:00 PM,2009,1.42,055,7
08/20/2009 11:15 AM,08/20/2009 1:45 PM,2009,0.1,066,5
07/26/2009 12:00 PM,07/31/2009 5:00 PM,2009,5.21,053,5
07/28/2009 7:00 AM,07/28/2009 3:00 PM,2009,0.33,092,5
09/02/2009 7:00 AM,09/03/2009 5:00 PM,2009,1.42,053,5
07/30/2009 4:00 PM,07/31/2009 10:00 PM,2009,1.25,093,5
07/26/2009 8:00 AM,07/26/2009 10:00 PM,2009,0.58,073,12
08/06/2009 5:00 AM,08/06/2009 9:00 PM,2009,0.67,066,5
07/27/2009 4:00 PM,07/27/2009 11:00 PM,2009,0.29,034,12
07/28/2009 4:00 PM,07/28/2009 11:00 PM,2009,0.29,073,12
07/28/2009 8:00 AM,07/28/2009 11:00 PM,2009,0.63,034,12
07/29/2009 7:00 AM,07/29/2009 5:00 PM,2009,0.42,073,12
07/30/2009 7:00 AM,07/30/2009 7:00 PM,2009,0.5,065,5
07/30/2009 8:00 AM,07/30/2009 9:00 PM,2009,0.54,062,5
08/10/2009 6:00 AM,08/15/2009 9:00 PM,2009,5.63,073,12
08/17/2009 7:30 AM,08/21/2009 8:15 PM,2009,4.53,073,12
07/29/2009 8:00 AM,07/29/2009 12:00 PM,2009,0.17,093,5
09/17/2009 7:00 AM,09/20/2009 8:00 PM,2009,3.54,065,5
09/17/2009 7:00 AM,09/20/2009 8:00 PM,2009,3.54,073,12
09/17/2009 7:00 AM,09/20/2009 8:00 PM,2009,3.54,046,12
07/30/2009 7:00 AM,07/30/2009 5:00 PM,2009,0.42,066,5
08/04/2009 9:00 AM,08/05/2009 7:00 AM,2009,0.92,093,5
07/31/2009 9:00 AM,07/31/2009 3:00 PM,2009,0.25,073,12
07/31/2009 6:00 AM,07/31/2009 6:00 PM,2009,0.5,063,5
07/30/2009 7:00 AM,07/30/2009 6:00 PM,2009,0.46,073,12
07/29/2009 10:00 AM,07/29/2009 4:00 PM,2009,0.25,051,7
08/03/2009 6:00 AM,08/04/2009 9:00 PM,2009,1.63,064,5
07/30/2009 8:00 AM,07/30/2009 4:00 PM,2009,0.33,053,5
09/03/2009 3:00 PM,09/03/2009 6:00 PM,2009,0.13,073,12
09/08/2009 3:00 PM,09/08/2009 6:00 PM,2009,0.13,073,12
09/02/2009 2:30 PM,09/02/2009 5:30 PM,2009,0.13,073,12
09/10/2009 2:30 PM,09/10/2009 5:30 PM,2009,0.13,094,12
08/17/2009 8:00 AM,08/30/2009 8:00 PM,2009,13.5,063,5
08/24/2009 4:00 AM,08/28/2009 4:30 PM,2009,4.52,063,5
08/01/2009 9:00 AM,08/02/2009 9:00 PM,2009,1.5,082,7
08/03/2009 5:00 AM,08/03/2009 8:30 PM,2009,0.65,072,7
07/31/2009 1:00 PM,07/31/2009 8:00 PM,2009,0.29,082,7
08/05/2009 12:00 PM,08/07/2009 10:00 PM,2009,2.42,071,5
08/13/2009 7:00 AM,08/13/2009 5:00 PM,2009,0.42,093,5
08/05/2009 5:45 AM,08/06/2009 8:00 PM,2009,1.59,063,5
08/03/2009 10:30 AM,08/03/2009 5:00 PM,2009,0.27,073,12
08/13/2009 4:45 PM,08/16/2009 9:00 AM,2009,2.68,046,12
08/04/2009 8:00 AM,08/04/2009 5:00 PM,2009,0.38,073,12
08/05/2009 6:00 AM,08/05/2009 8:00 PM,2009,0.58,065,5
08/05/2009 4:00 PM,08/05/2009 9:00 PM,2009,0.21,073,12
08/08/2009 12:00 PM,08/08/2009 9:00 PM,2009,0.38,073,12
08/17/2009 7:00 AM,08/21/2009 8:00 PM,2009,4.54,082,7
08/14/2009 1:00 PM,08/17/2009 8:00 AM,2009,2.79,094,12
08/14/2009 10:00 AM,08/15/2009 8:00 AM,2009,0.92,093,5
08/12/2009 2:00 PM,08/12/2009 10:30 PM,2009,0.35,094,12
08/06/2009 9:00 AM,08/06/2009 4:00 PM,2009,0.29,065,5
08/10/2009 1:00 PM,08/10/2009 4:00 PM,2009,0.13,092,5
08/10/2009 7:00 AM,08/10/2009 4:00 PM,2009,0.38,071,5
08/06/2009 1:00 PM,08/06/2009 5:00 PM,2009,0.17,094,12
08/15/2009 8:00 AM,08/17/2009 11:00 PM,2009,2.63,051,7
08/07/2009 9:30 AM,08/07/2009 4:00 PM,2009,0.27,065,5
08/12/2009 2:00 PM,08/12/2009 10:30 PM,2009,0.35,095,12
08/10/2009 8:00 AM,08/10/2009 5:00 PM,2009,0.38,046,12
08/18/2009 6:00 AM,08/18/2009 6:00 PM,2009,0.5,062,5
08/24/2009 7:00 AM,08/24/2009 7:00 PM,2009,0.5,062,5
08/26/2009 7:00 AM,08/26/2009 7:00 PM,2009,0.5,062,5
08/31/2009 7:00 AM,08/31/2009 7:00 PM,2009,0.5,062,5
08/10/2009 8:00 AM,08/10/2009 4:00 PM,2009,0.33,062,5
08/19/2009 12:30 PM,08/19/2009 5:30 PM,2009,0.21,093,5
08/12/2009 6:00 AM,08/12/2009 8:00 PM,2009,0.58,093,5
08/10/2009 4:15 PM,08/11/2009 9:00 AM,2009,0.7,092,5
08/11/2009 10:00 AM,08/11/2009 7:00 PM,2009,0.38,092,5
08/13/2009 7:00 AM,08/13/2009 5:00 PM,2009,0.42,066,5
08/14/2009 10:30 AM,08/14/2009 4:00 PM,2009,0.23,095,12
08/31/2009 4:00 AM,09/06/2009 5:00 PM,2009,6.54,063,5
09/07/2009 4:00 AM,12/11/2009 6:00 PM,2009,95.58,063,5
08/13/2009 10:00 AM,08/13/2009 10:30 PM,2009,0.52,095,12
08/14/2009 10:00 AM,08/14/2009 10:30 PM,2009,0.52,046,12
09/02/2009 10:30 AM,09/02/2009 3:00 PM,2009,0.19,094,12
09/23/2009 10:30 AM,09/23/2009 3:30 PM,2009,0.21,094,12
09/30/2009 10:30 AM,09/30/2009 3:30 PM,2009,0.21,094,12
10/07/2009 10:30 AM,10/07/2009 3:30 PM,2009,0.21,094,12
08/26/2009 10:30 AM,08/26/2009 3:30 PM,2009,0.21,094,12
10/08/2009 7:00 AM,10/08/2009 3:00 PM,2009,0.33,055,7
08/14/2009 8:00 AM,08/14/2009 6:00 PM,2009,0.42,066,5
08/16/2009 1:00 PM,08/17/2009 7:30 PM,2009,1.27,093,5
09/08/2009 1:00 PM,09/08/2009 4:00 PM,2009,0.13,082,7
09/09/2009 1:30 PM,09/09/2009 3:30 PM,2009,0.08,046,12
09/10/2009 1:30 PM,09/10/2009 3:30 PM,2009,0.08,073,12
09/11/2009 1:30 PM,09/11/2009 3:30 PM,2009,0.08,046,12
09/14/2009 1:30 PM,09/14/2009 3:30 PM,2009,0.08,046,12
09/15/2009 1:30 PM,09/15/2009 3:30 PM,2009,0.08,073,12
09/16/2009 1:30 PM,09/16/2009 3:30 PM,2009,0.08,046,12
09/17/2009 1:30 PM,09/17/2009 3:30 PM,2009,0.08,051,7
09/18/2009 1:30 PM,09/18/2009 3:30 PM,2009,0.08,094,12
09/21/2009 1:30 PM,09/21/2009 3:30 PM,2009,0.08,046,12
