Country,Region,Indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,Africa,Total_population,2786740,2840375,2894510,2950903,3011957,3079034,3153879,3235125,3317315,3392949,3457113,3507593,3547335,3582952,3623853,3676991,3744696,3825484,3917866,4018927,4126544,4239673,4359122,4486613,4624617,4774258,4936429,5108581,5284173,5454475,5613141,5759429,5895131,6019901,6134041,6239030,6333415,6420397,6511920,6623707,6767073,6946720,7159918,7401215,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,11178921
Burundi,Africa,CO2_emissions,,,0.015202573,0.016154716,0.015827251,0.011909579,0.015115038,0.014735443,0.016581181,0.021615415,0.018032098,0.020908925,0.020674675,0.020469155,0.02529766,0.020942939,0.023502041,0.025881431,0.026207124,0.027372978,0.035545483,0.037191783,0.036172651,0.045769938,0.047575832,0.048388881,0.049027749,0.052400265,0.048577138,0.055127945,0.052263073,0.058575946,0.052251256,0.054214014,0.054400843,0.051722143,0.05037235,0.047405324,0.045049693,0.043182164,0.042809203,0.029561001,0.029705089,0.021800204,0.025845471,0.019411377,0.022756803,0.02196433,0.021615102,0.020867637,0.020542078,0.021349926,,,,
Burundi,Africa,Life_expectancy,41.23604878,41.54546341,41.86039024,42.17780488,42.49221951,42.79014634,43.05507317,43.28002439,43.46797561,43.62743902,43.78192683,43.95992683,44.18495122,44.47146341,44.81846341,45.21890244,45.65373171,46.09292683,46.5134878,46.90295122,47.26282927,47.60468293,47.93858537,48.26158537,48.5602439,48.78558537,48.88117073,48.82446341,48.62641463,48.3234878,48.00012195,47.76521951,47.70173171,47.85858537,48.23926829,48.80078049,49.46260976,50.11985366,50.69204878,51.1492439,51.4854878,51.72482927,51.92826829,52.14531707,52.39639024,52.69695122,53.05387805,53.45607317,53.89102439,54.35121951,54.82919512,55.31202439,55.78929268,56.25160976,56.69202439,
Burundi,Africa,Internet_usage,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.3,1.38,
Cameroon,Africa,Total_population,5361367,5474509,5593768,5719135,5850454,5987671,6130990,6280743,6437157,6600479,6770967,6948847,7134374,7327874,7529704,7740196,7959500,8187840,8425707,8673666,8932121,9201146,9480638,9770555,10070779,10381098,10701458,11031515,11370394,11716975,12070359,12430311,12796739,13169100,13546823,13929575,14317191,14709961,15108630,15514249,15927713,16349364,16779434,17218591,17667576,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,23344179
Cameroon,Africa,CO2_emissions,0.050613584,0.051577046,0.051788526,0.052576832,0.057664585,0.052056133,0.056222241,0.072981015,0.078613276,0.086668255,0.094234398,0.116624672,0.120787752,0.122602408,0.129543206,0.150182114,0.137290785,0.191235906,0.237627774,0.210964199,0.43722594,0.580668865,0.669143785,0.674434462,0.601530825,0.623818598,0.187436983,0.168200107,0.194470042,0.651905547,0.144002179,0.08938642,0.296586888,0.295997525,0.281789095,0.313270864,0.321437704,0.218624577,0.212370347,0.198545221,0.215493084,0.209262636,0.203680529,0.220421346,0.223952228,0.20391329,0.207631788,0.305805976,0.283310454,0.332458227,0.325727347,0.268091793,,,,
Cameroon,Africa,Life_expectancy,41.5237561,41.96534146,42.40595122,42.84356098,43.27865854,43.71517073,44.1585122,44.61363415,45.08456098,45.57178049,46.07639024,46.5984878,47.13219512,47.67156098,48.21112195,48.74639024,49.27382927,49.79036585,50.28843902,50.763,51.20702439,51.6135122,51.98197561,52.31041463,52.59734146,52.84478049,53.05673171,53.23821951,53.38978049,53.50995122,53.59126829,53.62426829,53.60195122,53.52482927,53.39687805,53.21860976,52.99053659,52.72609756,52.44673171,52.17385366,51.93587805,51.75719512,51.65526829,51.63904878,51.7164878,51.88904878,52.1502439,52.47914634,52.85582927,53.26485366,53.69482927,54.13736585,54.5875122,55.04180488,55.4927561,
Cameroon,Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,5.69898724,6.4,11,
Central African Republic,Africa,Total_population,1503501,1529229,1556656,1585765,1616515,1648830,1682874,1718558,1755260,1792150,1828710,1864757,1900702,1937383,1975968,2017379,2061552,2108417,2158844,2213888,2274095,2340259,2411693,2485666,2558432,2627424,2691312,2751163,2809720,2871005,2937832,3010950,3089141,3170848,3253698,3335840,3417163,3497910,3577028,3653310,3726048,3794677,3859784,3923294,3987896,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,4900274
Central African Republic,Africa,CO2_emissions,0.058535378,0.05755057,0.047113813,0.046248971,0.045369205,0.05337603,0.05011724,0.053344141,0.104457459,0.10435343,0.114298604,0.098323803,0.08874721,0.083281416,0.057529778,0.050895741,0.062256494,0.060872683,0.06794377,0.046378137,0.046762778,0.057976062,0.059299836,0.059010342,0.058765291,0.061409198,0.059951429,0.094635251,0.082222072,0.08685321,0.067402765,0.06820173,0.070036622,0.070544851,0.07212962,0.070353494,0.068679194,0.0702388,0.069710385,0.072269805,0.071843143,0.064745695,0.063653562,0.059819121,0.053332885,0.052442445,0.055087916,0.055850117,0.054828457,0.053809109,0.059398336,0.063127814,,,,
Central African Republic,Africa,Life_expectancy,36.48263415,36.89570732,37.31878049,37.76034146,38.22536585,38.72585366,39.2727561,39.86856098,40.5127561,41.20236585,41.93541463,42.70846341,43.50802439,44.31463415,45.11178049,45.88141463,46.60797561,47.28141463,47.89121951,48.42441463,48.87258537,49.23180488,49.50765854,49.7057561,49.82563415,49.86829268,49.83273171,49.72439024,49.5482439,49.31229268,49.01756098,48.66407317,48.25736585,47.80992683,47.33621951,46.8462439,46.3454878,45.84636585,45.37029268,44.94314634,44.59729268,44.36207317,44.25341463,44.27780488,44.43968293,44.73809756,45.16312195,45.68739024,46.284,46.93497561,47.62531707,48.35043902,49.10529268,49.87987805,50.65778049,
Central African Republic,Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.5,4.03,
Chad,Africa,Total_population,3002596,3061423,3122357,3184775,3247798,3310921,3373563,3436227,3500778,3569778,3644911,3727382,3816299,3908729,4000511,4088858,4173070,4254770,4336389,4421448,4512795,4610964,4716073,4830055,4955088,5092650,5244158,5409275,5585528,5769273,5958022,6151213,6350174,6556628,6773104,7001634,7242018,7494143,7760157,8042713,8343321,8663599,9002102,9353516,9710498,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053,14037472
Chad,Africa,CO2_emissions,0.018319148,0.016769326,0.027011966,0.028785393,0.030484962,0.032118858,0.025000571,0.034149083,0.035614369,0.045198329,0.034206048,0.040335817,0.031708993,0.041278891,0.037581949,0.044841371,0.043936478,0.046540236,0.044818627,0.045615147,0.046316972,0.045330868,0.043543007,0.042515458,0.043662797,0.03528281,0.035661969,0.036607124,0.011817325,0.017797043,0.024618909,0.011326709,0.013859148,0.015100597,0.015159372,0.014664577,0.014684167,0.015168779,0.014648802,0.015046042,0.021096635,0.019893465,0.018738068,0.040772689,0.038896151,0.039700606,0.039049501,0.042863011,0.045756274,0.042689415,0.043462549,0.043830424,,,,
Chad,Africa,Life_expectancy,38.01612195,38.27343902,38.52885366,38.78585366,39.04987805,39.33326829,39.65139024,40.01114634,40.41197561,40.84792683,41.30460976,41.76121951,42.19941463,42.60429268,42.96839024,43.29307317,43.58568293,43.86053659,44.13053659,44.40065854,44.67497561,44.95663415,45.24080488,45.52109756,45.79453659,46.05256098,46.28658537,46.49095122,46.66360976,46.80656098,46.92436585,47.02658537,47.12185366,47.21678049,47.31343902,47.40492683,47.48082927,47.53360976,47.56321951,47.57407317,47.57807317,47.58712195,47.61609756,47.68185366,47.79582927,47.97390244,48.23002439,48.55921951,48.95158537,49.39317073,49.86207317,50.33195122,50.78139024,51.1914878,51.55580488,
Chad,Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.000658168,0.004268504,0.012321728,0.035707076,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.3,2.5,
Comoros,Africa,Total_population,188732,191828,194960,198205,201665,205412,209536,214038,218794,223629,228443,233125,237797,242875,248921,256309,265234,275496,286583,297765,308518,318659,328355,337853,347548,357729,368443,379589,391133,403003,415144,427556,440252,453188,466309,479574,492979,506525,520180,533909,547696,561525,575428,589500,603869,618632,633814,649404,665414,681845,698695,715972,733661,751697,769991,788474
Comoros,Africa,CO2_emissions,0.058289002,0.057348249,0.056426959,0.055503141,0.054550864,0.071407707,0.087502863,0.085662359,0.083800287,0.081988472,0.128417154,0.12583807,0.123365728,0.120786413,0.117852652,0.128762548,0.152080804,0.146415919,0.10236476,0.073890484,0.154516106,0.149598787,0.145181282,0.141099827,0.137163787,0.153761646,0.139337699,0.154567177,0.159380569,0.154686193,0.185494672,0.18010974,0.17491573,0.169922858,0.165141569,0.168220129,0.133892113,0.130311436,0.140989657,0.151100656,0.153992361,0.156730333,0.159316196,0.167954198,0.170030255,0.177827852,0.190925098,0.180694914,0.181858212,0.177475819,0.188940811,0.220233473,,,,
